GC_Number,GC_SampleID,CH4_RetTime,CH4_Area,CH4_ppm,CO2_RetTime,CO2_Area,CO2_ppm,Sample_Date,Sample_ID,Rep,Site_ID,Flag,Flag_Field,Flag_Lab,WaterT_C,Air_Location,AirV_mL,WaterV_mL,AirCO2_med_ppm,AirCO2_min_ppm,AirCO2_max_ppm,AirCH4_med_ppm,AirCH4_min_ppm,AirCH4_max_ppm
47,dd cal 001,6.029,"42,995",112.66,12.163,"15,659",2986,20210417,,R1,TS-SW,,,,17.4,JL Air,20,20,589,589,589,,,
45,dd cal 002,6.038,"51,398",134.70,12.176,"22,198",4232,20210417,,R2,TS-SW,,,,17.4,JL Air,20,20,589,589,589,,,
43,dd cal 003,6.006,"47,506",124.49,12.14,"17,173",3275,20210417,,R3,TS-SW,,,,17.4,JL Air,20,20,589,589,589,,,
42,dd cal 004,6.068,"1,408",-1.45,12.222,"3,102",589,20210417,,Air,JL Air,,,,,JL Air,20,,589,589,589,,,
51,dd cal 005,6.007,"208,105",542.71,12.137,"26,068",4969,20210501,,R1,TS-SW,,,,19.1,JL Air,20,20,575,448,642,,,
48,dd cal 006,6.005,"214,251",558.59,12.136,"25,464",4854,20210501,,R2,TS-SW,,,,19.1,JL Air,20,20,575,448,642,,,
52,dd cal 007,6.038,"226,228",589.51,12.172,"30,488",5810,20210501,,R3,TS-SW,,,,19.1,JL Air,20,20,575,448,642,,,
50,dd cal 008,6.03,"1,557",-0.90,12.173,"3,378",642,20210501,,Air,JL Air,,,,,JL Air,20,,575,448,642,,,
53,dd cal 009,6.05,"1,246",-2.04,12.2,"2,365",448,20210501,,Air,JL Air,,,,,JL Air,20,,575,448,642,,,
44,dd cal 010,6.021,"1,554",-0.91,12.178,"3,028",575,20210501,,Air,JL Air,,,,,JL Air,20,,575,448,642,,,
41,dd cal 011,6.033,"1,020",-2.88,12.187,"3,826",727,,Room blank,Room air,,,,,,Room,20,,727,664,909,,,
46,dd cal 012,6.045,"1,157",-2.37,12.179,"4,775",909,,Room blank,Room air,,,,,,Room,20,,727,664,909,,,
49,dd cal 013,6.035,"1,233",-2.09,12.18,"3,492",664,,Room blank,Room air,,,,,,Room,20,,727,664,909,,,
